Lambda (nm)	A	B	C	D50	D55	D65	D75	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
735	2,1892	0,8575	0,59639	0,88917	0,8215	0,72486	0,667	0,05234	0,03342	0,02766	0,02817	0,04408	0,02497	0,16375	0,28571	0,22449	0,06213	0,0742	0,07468
740	2,21667	0,845	0,58405	0,92866	0,85	0,75087	0,692	0,05094	0,03156	0,02586	0,02572	0,04276	0,02323	0,15103	0,26276	0,20722	0,07101	0,08481	0,09091
745	2,24361	0,837	0,5717	0,84077	0,7845	0,6934	0,639	0,04745	0,02908	0,02345	0,02266	0,04013	0,02149	0,13911	0,24235	0,19074	0,07101	0,08481	0,09091
750	2,27	0,829	0,5622	0,75287	0,719	0,63593	0,586	0,04815	0,02908	0,02345	0,02266	0,04079	0,02207	0,12878	0,22534	0,17739	0,06213	0,07067	0,06818
755	2,29585	0,8265	0,55556	0,66497	0,6235	0,55005	0,506	0,04466	0,02661	0,02105	0,02021	0,03882	0,02033	0,12242	0,21344	0,16797	0,0503	0,08481	0,05519
760	2,32115	0,824	0,55176	0,57708	0,528	0,46418	0,426	0,04745	0,02847	0,02285	0,02143	0,04079	0,02265	0,11526	0,20153	0,15856	0,06213	0,11307	0,06818
765	2,34589	0,8275	0,55081	0,6293	0,6435	0,56612	0,52	0,04815	0,02908	0,02345	0,02205	0,04211	0,02381	0,10493	0,18282	0,14364	0,06509	0,09187	0,06169
770	2,37008	0,831	0,55271	0,68153	0,759	0,66805	0,614	0,04257	0,02475	0,01984	0,01898	0,03618	0,01916	0,093	0,16071	0,12637	0,0503	0,05654	0,0487
775	2,3937	0,831	0,55271	0,73376	0,759	0,65094	0,614	0,03629	0,02042	0,01684	0,01592	0,03092	0,0151	0,0787	0,1369	0,10832	0,0355	0,0424	0,03247
780	2,41675	0,831	0,55271	0,78599	0,759	0,63383	0,614	0,03001	0,01671	0,01263	0,01164	0,02632	0,0122	0,06439	0,11224	0,08791	0,02663	0,0318	0,01623
